cvssSource,score,scoreSource,scoringVector,version,current_key,parent_key
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,29,29
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,30,30
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,31,31
NVD,8.1,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,3.1,32,32
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,33,33
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,34,34
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,35,35
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,36,36
AMAZON_CVE,3.3,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,3.1,37,37
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,38,38
AMAZON_CVE,7.8,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,39,39
AMAZON_CVE,4.0,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,40,40
NVD,6.5,NVD,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1,41,41
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,42,42
AMAZON_CVE,5.5,AMAZON_CVE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,43,43
