id,partition,region,type,current_key,parent_key
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,28,28
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,29,29
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,30,30
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,31,31
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,32,32
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,33,33
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,34,34
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,35,35
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,36,36
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,37,37
arn:aws:ecr:ap-south-1:531341628109:repository/recommendation-engine/sha256:1e66c011c060ebfb7fabf1985a3e993e3af6553e3937359b8e85e9de37fab6bc,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,38,38
