id,partition,region,type,current_key,parent_key
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,1,1
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,2,2
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,3,3
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,4,4
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,5,5
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,6,6
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,7,7
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,8,8
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,9,9
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,10,10
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,11,11
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,12,12
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,13,13
arn:aws:ecr:ap-south-1:531341628109:repository/shopifycodapp/sha256:7fc522b1da8f99b24fa3aadd8aff4b28717d9fcc892ad53b0a5340a0cd5e58ba,aws,ap-south-1,AWS_ECR_CONTAINER_IMAGE,14,14
